id,ram,storage,cpu,bandwidth,charging_status,pareto_rank
0,0.313613995,0.945193306,0.004491375,0.627844415,0.202999126,4
1,0.164071417,0.843230397,0.21331239,0.112918884,1.0,9
2,0.458789347,0.15765485,0.843853848,0.625738897,1.0,31
3,0.149833479,0.479928251,0.256182901,0.195050849,0.452783495,4
4,0.908679104,0.822341044,0.414926841,0.325946355,0.030206202,2
5,0.993549646,0.458677849,0.706011574,0.268434024,0.141281163,5
6,0.378561956,0.368666102,0.268773791,0.380033524,1.0,12
7,0.634512527,0.437938827,0.07651775,0.24717052,0.034184593,1
8,0.747869205,0.971717113,0.124969095,0.396778265,1.0,33
9,0.004051535,0.301780095,0.795535953,0.804970894,1.0,27
10,0.947680544,0.085175161,0.021281554,0.833726591,0.443558811,7
11,0.832441176,0.931404294,0.18713847,0.621575029,1.0,45
12,0.647222879,0.439170016,0.174924321,0.122558678,0.127712097,2
13,0.259899753,0.974701675,0.598246257,0.096928367,0.162187151,4
14,0.965503435,0.484312985,0.090144253,0.585787214,1.0,32
15,0.946553282,0.664179866,0.956569653,0.187077052,0.097988699,5
16,0.376308566,0.06123707,0.066363275,0.032607161,1.0,1
17,0.691300468,0.028369546,0.584168804,0.236036767,1.0,17
18,0.449377874,0.300052459,0.330674958,0.270339828,1.0,10
19,0.299748649,0.520511642,0.657840292,0.048441107,1.0,15
20,0.220675614,0.948171404,0.074125801,0.051302824,0.420751348,3
21,0.859442845,0.8050518,0.904366009,0.881539176,0.221741649,6
22,0.965615572,0.139941063,0.225355606,0.253980814,1.0,20
23,0.238649882,0.984689747,0.871638539,0.541470672,0.493106879,10
24,0.76439696,0.130309897,0.779935358,0.294274396,1.0,29
25,0.533341355,0.248606459,0.384071659,0.157265056,0.115534684,1
26,0.270242886,0.931981241,0.610539402,0.732063525,0.048887658,3
27,0.288951413,0.776425491,0.149716711,0.236181214,0.015703237,1
28,0.660738443,0.707536419,0.972299096,0.800600071,1.0,52
29,0.457011607,0.404460853,0.48311277,0.684133195,0.009551434,1
